"0120 Värmdö","winter barley",..,..,..,..,..,..,2,..,14,..,..,..,..,..
"0120 Värmdö","barley",222,342,165,73,45,42,..,..,..,..,..,..,..,..
"0120 Värmdö","spring barley",..,..,..,..,..,..,51,37,64,51,68,39,35,26
"0120 Värmdö","oats",141,162,46,77,46,97,65,70,38,67,32,86,75,25
"0120 Värmdö","mixed grain and triticale",..,..,..,18,9,6,..,..,..,..,..,..,..,..
"0120 Värmdö","ley for hay and forage plants",..,..,..,..,..,..,349,394,315,..,..,..,..,..
"0120 Värmdö","triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0120 Värmdö","mixed grain",24,11,8,..,..,..,7,6,7,7,3,4,5,..
"0120 Värmdö","field peas for cooking, fodder peas, vetches and field beans",..,10,..,12,..,..,..,..,..,..,..,..,..,..
"0120 Värmdö","green peas",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0120 Värmdö","white beans",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0120 Värmdö","green fodder",6,18,3,3,..,5,..,..,..,..,1,1,1,..
"0120 Värmdö","utilized ley for hay",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0120 Värmdö","utilized pasture",..,..,..,..,..,..,374,367,340,..,..,..,..,..
"0120 Värmdö","utilized ley for hay and pasture",519,372,495,531,561,646,..,..,..,581,494,498,467,553
"0120 Värmdö","not utilized ley for hay and pasture",22,24,36,60,66,87,103,26,32,71,..,..,..,..
"0120 Värmdö","ley for seeds",..,3,..,1,..,..,1,..,..,..,..,..,..,..
"0120 Värmdö","table potatoes",3,7,8,6,6,6,10,5,5,5,4,4,4,4
"0120 Värmdö","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0120 Värmdö","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0120 Värmdö","winter rape",..,..,..,..,7,..,..,..,..,..,..,..,..,..
"0120 Värmdö","spring rape",145,15,24,..,..,16,19,..,..,19,..,..,..,48
"0120 Värmdö","winter turnip rape",..,22,40,..,34,..,..,..,..,..,..,..,..,..
"0120 Värmdö","spring turnip rape",..,123,63,13,8,27,6,16,..,40,44,54,53,..
"0120 Värmdö","oil flax",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0120 Värmdö","horticulture plants",..,..,..,..,..,..,..,..,..,1,0,0,0,..
"0120 Värmdö","other crops",2,10,24,24,18,17,45,53,14,2,42,0,0,..
"0120 Värmdö","energy forest",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0120 Värmdö","fallow land",100,182,123,117,202,16,16,39,195,104,90,114,101,159
"0120 Värmdö","other untilled arable land",46,28,63,43,114,169,172,177,48,110,..,40,35,..
"0120 Värmdö","unspecified arable land",..,..,..,..,..,..,..,..,..,..,124,110,46,12
"0123 Järfälla","total arable land",215,193,178,184,177,..,..,184,182,171,235,243,220,219
"0123 Järfälla","winter wheat",10,24,7,23,4,..,..,..,7,11,..,..,18,..
"0123 Järfälla","spring wheat",33,21,26,12,15,..,..,..,..,..,12,12,..,..
"0123 Järfälla","rye",..,12,12,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","winter barley",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","barley",52,42,30,34,29,..,..,..,..,..,..,..,..,..
"0123 Järfälla","spring barley",..,..,..,..,..,..,..,12,16,7,16,9,12,..
"0123 Järfälla","oats",38,22,44,22,23,..,..,8,11,12,15,18,18,..
"0123 Järfälla","mixed grain and triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","ley for hay and forage plants",..,..,..,..,..,..,..,76,57,..,..,..,..,..
"0123 Järfälla","triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","mixed grain",..,4,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","field peas for cooking, fodder peas, vetches and field beans",..,9,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","green peas",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","white beans",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","green fodder",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","utilized ley for hay",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","utilized pasture",..,..,..,..,..,..,..,15,36,..,..,..,..,..
"0123 Järfälla","utilized ley for hay and pasture",..,6,20,23,45,..,..,..,..,82,134,143,104,109
"0123 Järfälla","not utilized ley for hay and pasture",6,..,..,13,16,..,..,15,..,..,..,..,..,..
"0123 Järfälla","ley for seeds",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","table potatoes",..,1,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","winter rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","spring rape",..,15,16,29,27,..,..,..,6,..,..,..,..,..
"0123 Järfälla","winter turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","spring turnip rape",23,14,..,..,..,..,..,..,..,12,12,12,6,..
"0123 Järfälla","oil flax",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","horticulture plants",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","other crops",16,3,7,6,..,..,..,4,..,..,..,..,..,..
"0123 Järfälla","energy forest",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0123 Järfälla","fallow land",37,20,1,16,12,..,..,..,49,48,45,49,60,..
"0123 Järfälla","other untilled arable land",..,..,15,6,6,..,..,54,1,..,..,..,..,..
"0123 Järfälla","unspecified arable land",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0125 Ekerö","total arable land",6772,6789,6729,6701,6479,6222,6091,6015,6116,6130,6149,6047,6009,6229
"0125 Ekerö","winter wheat",718,819,1301,1613,785,835,977,711,644,815,1428,1256,1767,1513
"0125 Ekerö","spring wheat",918,866,161,148,147,236,199,208,205,160,76,69,38,..
"0125 Ekerö","rye",175,125,138,136,64,73,64,47,41,38,22,39,18,..
"0125 Ekerö","winter barley",..,..,..,..,..,..,17,28,35,18,8,27,25,..
"0125 Ekerö","barley",1465,1389,1085,1232,1010,874,..,..,..,..,..,..,..,..
"0125 Ekerö","spring barley",..,..,..,..,..,..,828,961,1149,1168,970,803,448,597
"0125 Ekerö","oats",1358,1062,1055,800,929,722,671,722,486,645,612,662,588,261
"0125 Ekerö","mixed grain and triticale",..,..,..,16,6,15,..,..,..,..,..,..,..,..
"0125 Ekerö","ley for hay and forage plants",..,..,..,..,..,..,598,617,608,..,..,..,..,..
"0125 Ekerö","triticale",..,..,..,..,..,..,8,..,71,25,21,23,58,151
"0125 Ekerö","mixed grain",37,34,18,..,..,..,..,9,2,8,..,..,..,1
"0125 Ekerö","field peas for cooking, fodder peas, vetches and field beans",52,235,83,82,49,32,27,19,55,132,182,192,152,126
"0125 Ekerö","green peas",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0125 Ekerö","white beans",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0125 Ekerö","green fodder",14,14,14,9,59,27,..,..,..,17,12,8,6,7
"0125 Ekerö","utilized ley for hay",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0125 Ekerö","utilized pasture",..,..,..,..,..,..,758,726,662,..,..,..,..,..
"0125 Ekerö","utilized ley for hay and pasture",607,675,829,901,1092,1145,..,..,..,1357,1436,1474,1461,1889
"0125 Ekerö","not utilized ley for hay and pasture",15,6,31,95,35,149,78,111,72,21,..,..,..,..
"0125 Ekerö","ley for seeds",20,1,9,10,13,9,6,..,..,2,30,46,..,..
"0125 Ekerö","table potatoes",196,174,114,119,87,84,84,70,57,33,26,18,12,14
"0125 Ekerö","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0125 Ekerö","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0125 Ekerö","winter rape",..,..,5,29,9,..,7,11,11,..,..,80,..,125
